,host_since,host_response_rate,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating
19433,20140527.0,1.0,-33.88630504219862,151.24267903647302,4.0,1.0,2.0,2.0,500.0,500.0,242.0,1.0,0.0,5.0,90.0,0.0,0.0
19434,20121011.0,0.8,-33.87476349144403,151.18348831617374,5.0,1.0,1.0,1.0,69.0,0.0,50.0,1.0,10.0,5.0,50.0,8.0,90.0
19435,20170920.0,1.0,-33.955456075399496,151.23133831840607,7.0,2.0,3.0,4.0,208.0,400.0,140.0,4.0,25.0,1.0,1125.0,30.0,93.0
19436,20140409.0,0.0,-33.79412687226922,151.28172855790908,2.0,1.5,1.0,1.0,61.0,1000.0,35.0,1.0,0.0,2.0,1125.0,2.0,100.0
19437,20170901.0,1.0,-33.89330793960912,151.1984620513897,2.0,1.0,1.0,1.0,80.0,200.0,20.0,1.0,10.0,3.0,28.0,40.0,96.0
19438,20170920.0,1.0,-33.87701757261537,151.21416861651753,6.0,1.0,3.0,4.0,249.0,300.0,195.0,5.0,20.0,2.0,1125.0,33.0,99.0
19439,20130607.0,1.0,-33.94043729079125,151.2161389304867,2.0,2.0,1.0,1.0,40.0,125.0,15.0,1.0,15.0,3.0,1125.0,8.0,100.0
19440,20161010.0,0.5,-33.838005041345404,151.24634973679673,9.0,5.0,5.0,5.0,840.0,3000.0,528.0,1.0,0.0,7.0,1125.0,0.0,0.0
19441,20170806.0,1.0,-33.822971677445004,151.20194610439145,2.0,1.0,1.0,1.0,44.0,150.0,45.0,2.0,59.0,1.0,10.0,19.0,89.0
19442,20130328.0,0.0,-33.780886234097146,151.26954689487536,2.0,1.0,1.0,1.0,90.0,0.0,0.0,1.0,0.0,2.0,14.0,1.0,100.0
19443,20170406.0,0.0,-33.870620288622085,151.09040489707488,2.0,3.0,1.0,5.0,61.0,0.0,0.0,1.0,0.0,1.0,7.0,5.0,0.0
19444,20170410.0,0.0,-33.79190726027308,151.26579104418073,1.0,1.0,1.0,1.0,36.0,0.0,0.0,1.0,0.0,10.0,20.0,0.0,0.0
19445,20170612.0,1.0,-33.87469339424299,151.2256946099515,2.0,1.0,1.0,1.0,78.0,0.0,80.0,1.0,0.0,1.0,1125.0,21.0,94.0
19446,20140516.0,1.0,-33.8298655449795,151.2175309596571,2.0,1.0,1.0,1.0,65.0,0.0,0.0,1.0,0.0,3.0,12.0,26.0,92.0
19447,20160405.0,0.0,-33.96507485125805,151.1370140482506,2.0,1.0,1.0,1.0,65.0,0.0,30.0,1.0,0.0,1.0,1125.0,0.0,0.0
19448,20161229.0,0.0,-33.94565024560826,151.24088655321168,5.0,2.0,2.0,3.0,90.0,150.0,30.0,1.0,50.0,2.0,10.0,1.0,80.0
19449,20150502.0,0.0,-33.92518494278833,151.2417607831156,2.0,1.0,1.0,1.0,129.0,0.0,0.0,1.0,0.0,2.0,1125.0,1.0,100.0
19450,20140411.0,0.0,-33.793638569393714,151.284481766115,2.0,1.0,1.0,1.0,421.0,0.0,150.0,1.0,0.0,9.0,1000.0,0.0,0.0
19451,20140916.0,0.98,-33.868467026828725,151.16278160216697,6.0,1.0,3.0,4.0,208.0,400.0,200.0,1.0,0.0,2.0,1125.0,27.0,93.0
19452,20131023.0,1.0,-33.834315936825426,151.15861250218606,4.0,2.0,2.0,3.0,155.0,200.0,50.0,2.0,45.0,2.0,1125.0,4.0,100.0
19453,20110624.0,0.0,-33.82302969857533,151.1280287805495,5.0,1.0,2.0,3.0,150.0,0.0,100.0,1.0,0.0,2.0,1125.0,17.0,98.0
19454,20160107.0,0.0,-33.91015768948266,151.23581339783263,4.0,1.0,2.0,2.0,195.0,500.0,120.0,2.0,50.0,2.0,1125.0,8.0,97.0
19455,20141215.0,0.83,-33.889762758100225,151.27460758673354,2.0,1.0,1.0,1.0,301.0,1000.0,75.0,1.0,0.0,3.0,1125.0,6.0,97.0
19456,20170405.0,1.0,-33.87856466299826,151.2078430775833,3.0,1.0,0.0,1.0,105.0,400.0,75.0,2.0,30.0,1.0,60.0,52.0,93.0
19457,20170920.0,0.0,-33.858056039132826,151.17842966675732,4.0,2.0,2.0,2.0,163.0,0.0,50.0,1.0,0.0,2.0,14.0,2.0,100.0
19458,20150401.0,1.0,-33.86763272707709,151.17355004669145,2.0,1.0,1.0,1.0,70.0,0.0,20.0,2.0,25.0,3.0,45.0,5.0,100.0
19459,20150615.0,0.0,-33.86559860505232,151.1662809835865,2.0,1.0,1.0,1.0,80.0,0.0,0.0,1.0,0.0,2.0,1125.0,3.0,100.0
19460,20120918.0,1.0,-33.78789257793363,151.23725838358132,6.0,2.0,4.0,4.0,400.0,1000.0,350.0,1.0,0.0,3.0,1125.0,2.0,100.0
19461,20120812.0,0.0,-33.89197598888286,151.16252667593884,1.0,2.0,1.0,1.0,58.0,0.0,50.0,1.0,30.0,1.0,5.0,1.0,0.0
19462,20151231.0,0.0,-33.91118263550944,151.24209319158874,2.0,1.0,1.0,1.0,70.0,0.0,19.0,1.0,6.0,2.0,14.0,15.0,95.0
19463,20160526.0,1.0,-33.84921413866146,151.15481818527877,2.0,1.0,1.0,1.0,119.0,125.0,75.0,2.0,10.0,1.0,1125.0,12.0,97.0
19464,20170920.0,1.0,-33.86628869705521,151.0931012855071,2.0,1.0,1.0,1.0,69.0,150.0,20.0,1.0,0.0,1.0,60.0,4.0,100.0
19465,20140604.0,0.82,-33.81913225147699,151.23586200860163,10.0,3.0,5.0,8.0,630.0,2000.0,437.0,1.0,0.0,7.0,1125.0,0.0,0.0
19466,20170912.0,0.0,-33.88205892378543,151.2230407042749,4.0,1.0,2.0,2.0,200.0,600.0,125.0,1.0,0.0,2.0,1125.0,1.0,100.0
19467,20120523.0,0.97,-33.886414436364625,151.23860298636484,6.0,2.0,2.0,3.0,400.0,1000.0,200.0,1.0,0.0,5.0,1125.0,1.0,100.0
19468,20170219.0,0.94,-33.904424015709274,151.10525714531406,1.0,2.0,1.0,1.0,30.0,150.0,10.0,1.0,20.0,2.0,1125.0,15.0,92.0
19469,20161128.0,0.0,-33.952697111696814,151.20405421952404,1.0,1.0,1.0,1.0,50.0,0.0,0.0,1.0,0.0,1.0,7.0,4.0,87.0
