,price
27516,318.0
15734,185.0
8129,150.0
28225,208.0
24717,138.0
17815,685.0
25984,35.0
23206,50.0
10545,500.0
22915,67.0
4469,129.0
19828,200.0
27565,90.0
19399,98.0
2112,400.0
1612,127.0
13663,301.0
7010,55.0
29441,400.0
5748,70.0
2850,218.0
2335,249.0
23118,329.0
12003,61.0
13292,139.0
3834,120.0
11951,195.0
9300,249.0
28863,183.0
8701,200.0
24675,65.0
19462,70.0
19428,100.0
1645,125.0
13629,220.0
16450,90.0
26853,150.0
16673,146.0
15944,600.0
28406,90.0
6494,249.0
2488,550.0
16136,351.0
29273,40.0
24858,351.0
4154,61.0
15200,135.0
29692,129.0
13281,655.0
11974,693.0
27013,125.0
9037,170.0
16320,119.0
29063,500.0
25770,270.0
23561,170.0
6708,120.0
8951,49.0
3481,260.0
11857,245.0
30007,120.0
26159,170.0
6723,260.0
1675,334.0
12671,105.0
10017,90.0
7921,160.0
775,795.0
16590,146.0
25200,489.0
14739,90.0
25629,90.0
19573,200.0
24660,160.0
15060,53.0
10154,50.0
22610,280.0
28681,301.0
23638,49.0
11049,75.0
14527,301.0
7152,164.0
23816,351.0
1205,190.0
19391,85.0
18043,70.0
24450,111.0
15717,55.0
19810,80.0
7438,259.0
10977,50.0
30051,61.0
15509,70.0
10540,59.0
18173,94.0
4620,100.0
4975,164.0
22212,53.0
20413,200.0
22963,150.0
9867,550.0
22558,325.0
649,98.0
12996,301.0
4027,351.0
22883,111.0
27443,70.0
10302,150.0
17425,90.0
13694,111.0
27608,61.0
27558,65.0
24346,75.0
15774,96.0
4056,231.0
4500,289.0
14112,88.0
22985,133.0
2898,26.0
10724,799.0
15584,75.0
11696,351.0
18338,150.0
2970,30.0
28468,43.0
11754,138.0
20421,148.0
30549,150.0
7012,43.0
10073,229.0
26382,200.0
9519,111.0
4781,86.0
4714,61.0
3611,400.0
6198,249.0
8088,360.0
28942,69.0
1690,310.0
30614,61.0
695,321.0
11495,600.0
17963,111.0
6650,150.0
27564,321.0
3335,94.0
979,200.0
14949,30.0
7490,125.0
15759,169.0
12030,55.0
7272,225.0
15694,100.0
23220,120.0
17275,129.0
16730,90.0
10366,111.0
9350,69.0
10098,175.0
25018,209.0
6015,495.0
30209,80.0
17786,40.0
28383,200.0
19219,70.0
29826,399.0
97,111.0
27349,120.0
17297,120.0
26549,190.0
4278,70.0
26091,55.0
20951,400.0
20290,44.0
6369,150.0
1021,181.0
26516,175.0
3812,799.0
212,249.0
17395,280.0
24829,183.0
4576,63.0
17519,120.0
562,500.0
2482,301.0
17557,70.0
3957,125.0
1329,94.0
21533,700.0
23331,61.0
22144,700.0
8433,80.0
30192,177.0
4039,75.0
21434,249.0
29446,20.0
13075,81.0
18726,85.0
21750,210.0
29093,98.0
16286,284.0
22167,154.0
27912,44.0
8860,50.0
19387,85.0
13060,260.0
5494,120.0
9002,90.0
19489,249.0
29303,301.0
5122,150.0
15130,140.0
13318,160.0
30268,50.0
27053,90.0
16169,70.0
28048,85.0
7628,102.0
30086,249.0
26801,55.0
22252,320.0
141,171.0
6346,150.0
6014,280.0
25315,125.0
14278,100.0
13171,430.0
23650,150.0
6167,550.0
19369,200.0
6639,249.0
16359,70.0
21099,142.0
26911,150.0
25873,100.0
21336,94.0
13683,158.0
12458,169.0
27529,164.0
15364,849.0
6031,214.0
23413,120.0
14325,100.0
16423,315.0
23768,572.0
1257,120.0
27402,330.0
17600,89.0
13688,53.0
8488,175.0
8931,70.0
16461,895.0
24946,98.0
1665,125.0
28926,500.0
17788,169.0
17173,375.0
1883,225.0
27756,123.0
4860,90.0
22198,163.0
1116,181.0
15605,170.0
11610,61.0
6749,100.0
16617,108.0
30678,301.0
24615,70.0
17544,195.0
14476,75.0
19518,96.0
24702,139.0
20475,70.0
